ALEJANDRA ;;;;;;;;;;;;;;MARCELO;;;;;;;;;;;;;;JOEL;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2026;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
CANALETAS; $29.761.094 ; $28.906.145 ; $20.272.870 ; $26.701.246 ; $15.721.205 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;CANALETAS; $7.146.443 ; $16.938.095 ; $5.036.340 ; $2.143.382 ; $6.136.720 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;CANALETAS; $4.553.370 ; $2.947.630 ; $1.936.770 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
EXTENSIONES; $6.471.553 ; $6.817.656 ; $10.504.347 ; $9.578.472 ; $8.370.267 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;EXTENSIONES; $4.124.728 ; $763.880 ; $2.121.170 ; $2.229.200 ; $1.394.430 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;EXTENSIONES; $1.189.833 ; $765.556 ; $1.082.488 ; $- ; $262.302 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
HERRAMIENTAS; $420.716 ; $533.920 ; $751.460 ; $1.399.710 ; $487.800 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;HERRAMIENTAS; $30.420 ; $76.320 ; $55.165 ; $817.520 ; $82.200 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;HERRAMIENTAS; $48.360 ; $313.035 ; $160.300 ; $- ; $4.153 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
ILUMINACION; $166.413 ; $1.111.853 ; $803.904 ; $645.496 ; $1.033.724 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;ILUMINACION; $- ; $65.740 ; $155.660 ; $480.700 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;ILUMINACION; $- ; $277.790 ; $135.200 ; $- ; $23.243 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
OBSOLETO; $96.000 ; $- ; $77.480 ; $43.200 ; $64.200 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;OBSOLETO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;OBSOLETO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
PLACAS MURALES; $598.976 ; $1.449.524 ; $891.525 ; $904.570 ; $1.591.356 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;PLACAS MURALES; $687.372 ; $665.790 ; $770.228 ; $411.320 ; $678.426 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;PLACAS MURALES; $1.017.842 ; $211.120 ; $856.815 ; $- ; $227.749 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
PORTALAMPARAS; $272.550 ; $949.050 ; $727.500 ; $428.350 ; $1.639.500 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;PORTALAMPARAS; $206.550 ; $249.750 ; $196.715 ; $652.620 ; $263.600 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;PORTALAMPARAS; $38.100 ; $- ; $90.950 ; $- ; $20.130 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
SMART; $- ; $89.800 ; $44.575 ; $471.750 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;SMART; $40.480 ; $- ; $32.200 ; $656.310 ; $58.690 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;SMART; $202.650 ; $418.370 ; $1.301.210 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
VOLANTES; $1.893.350 ; $2.686.580 ; $1.293.780 ; $2.991.620 ; $1.516.780 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;VOLANTES; $650.978 ; $749.860 ; $1.221.725 ; $935.472 ; $723.602 ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;VOLANTES; $679.630 ; $420.675 ; $572.900 ; $- ; $48.337 ; $- ; $- ; $- ; $- ; $- ; $- ; $- 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;2025;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2025;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;2025;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;;BLOQUEADO;-;-;-;-;-;-;-;-;-;-;-;-
BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BLOQUEADO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS;-;-;-;-;-;-;-;-;-;-;-;-
BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;BORNERAS; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;CANALETAS;$1.287.400;$3.224.920;$709.195;$2.324.290;$1.323.090;$365.535;$640.800;$3.851.620;$2.358.300;$2.253.730;$3.101.820;$1.826.290
CANALETAS; $36.419.190 ; $25.666.627 ; $25.209.180 ; $27.074.394 ; $22.377.230 ; $24.758.114 ; $22.640.902 ; $32.415.594 ; $24.736.755 ; $14.908.609 ; $24.190.590 ; $20.972.620 ;;CANALETAS; $6.890.375 ; $16.784.975 ; $8.446.926 ; $9.513.700 ; $9.277.410 ; $7.398.030 ; $12.484.910 ; $19.251.675 ; $7.131.182 ; $4.111.609 ; $17.434.615 ; $5.308.760 ;;EXTENSIONES;$73.825;$373.950;$894.710;$245.316;$513.664;$503.700;$169.355;$31.050;$545.800;$666.578;$1.685.870;$1.224.974
EXTENSIONES; $3.276.005 ; $7.994.858 ; $13.109.186 ; $8.503.922 ; $7.669.765 ; $11.463.851 ; $8.351.133 ; $7.401.092 ; $8.847.833 ; $12.765.792 ; $7.876.492 ; $10.705.295 ;;EXTENSIONES; $351.090 ; $173.600 ; $2.034.537 ; $1.980.088 ; $2.532.803 ; $645.100 ; $4.811.024 ; $1.098.213 ; $2.881.999 ; $2.348.142 ; $2.124.795 ; $4.092.878 ;;HERRAMIENTAS;-;$94.400;-;-;-;-;-;-;-;$2.100;$56.140;-
HERRAMIENTAS; $- ; $145.800 ; $370.880 ; $243.000 ; $416.680 ; $1.248.850 ; $1.301.010 ; $177.600 ; $7.400 ; $279.100 ; $651.870 ; $563.360 ;;HERRAMIENTAS; $141.600 ; $- ; $49.293 ; $- ; $- ; $- ; $- ; $80.888 ; $74.000 ; $217.008 ; $- ; $8.200 ;;ILUMINACION;-;-;-;-;-;-;-;-;$23.400;$480.100;$334.600;$115.000
ILUMINACION; $1.549.785 ; $2.051.690 ; $373.800 ; $356.850 ; $1.151.750 ; $971.450 ; $277.772 ; $748.955 ; $494.800 ; $1.015.145 ; $186.400 ; $181.040 ;;ILUMINACION; $71.300 ; $- ; $425.320 ; $134.750 ; $17.800 ; $126.500 ; $680.700 ; $169.664 ; $331.087 ; $185.370 ; $107.160 ; $219.153 ;;OBSOLETO;-;-;-;-;-;-;-;-;-;-;-;-
OBSOLETO; $317.400 ; $12.660 ; $- ; $96.880 ; $14.200 ; $1.847.800 ; $-1.440.000 ; $- ; $- ; $46.000 ; $- ; $55.800 ;;OBSOLETO; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;PLACAS MURALES;$421.890;-;$343.308;$1.342.838;$396.116;$582.176;-;$1.349.800;$383.880;$624.140;$507.920;$398.198
PLACAS MURALES; $1.812.889 ; $956.745 ; $1.568.280 ; $2.723.360 ; $664.064 ; $810.528 ; $1.663.797 ; $807.379 ; $1.440.009 ; $958.588 ; $1.202.845 ; $1.450.273 ;;PLACAS MURALES; $- ; $- ; $- ; $- ; $- ; $- ; $1.433.768 ; $464.251 ; $368.501 ; $397.974 ; $332.248 ; $496.466 ;;PORTALAMPARAS;-;-;$400.000;-;-;$4.902;-;-;$46.500;-;$3.500;$49.878
PORTALAMPARAS; $611.580 ; $334.170 ; $1.246.070 ; $1.154.350 ; $373.210 ; $1.556.810 ; $343.175 ; $664.573 ; $234.869 ; $543.350 ; $818.750 ; $398.300 ;;PORTALAMPARAS; $515.000 ; $- ; $401.628 ; $67.600 ; $40.000 ; $66.750 ; $251.000 ; $143.416 ; $405.893 ; $161.275 ; $251.800 ; $358.725 ;;Proceso de Alimentos;-;-;-;-;-;-;-;-;-;-;-;-
Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;Proceso de Alimentos; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ; $- ;;SMART;-;-;-;-;-;$101.200;-;-;-;-;$117.200;-
